Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
246122,35166762,37848165,10000,10000,10000.0, 36 months,12.99,336.9,C,C2,Secretary,1 year,OWN,28800.0,Not Verified,Nov-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=35166762,,debt_consolidation,Debt consolidation,650xx,MO,19.17,0.0,Feb-04,0.0,,,7.0,0.0,6970,38.9,9.0,w,6826.61,6826.61,4365.27,4365.27,3173.39,1191.88,0.0,0.0,0.0,Dec-15,336.9,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,14985.0,,,,,,,,,,,,17900.0,,,
34055,459030,515622,8000,8000,7875.0, 36 months,7.74,249.75,A,A3,,< 1 year,RENT,30000.0,Not Verified,Nov-09,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=459030," 515622 added on 11/10/09 > I appreciate the fast response time and interest rate.<br/>This loan going to pay off 3 credit cards reducing my monthly <br/>payments.Although I have never missed a payment this will<br/>ease the monthly burden a bit.I am currently self employed<br/>as a carpenter,I also hold a part time position at local Ymca 6 yrs.My current budget for debt is $650.00 a month<br/>",debt_consolidation,My Bailout,031xx,NH,12.52,0.0,Jun-98,0.0,,,6.0,0.0,4887,14.4,21.0,f,0.0,0.0,8946.72,8806.93,8000.0,946.72,0.0,0.0,0.0,Apr-12,1958.67,,Oct-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
337343,22413062,24745823,35000,35000,35000.0, 60 months,12.99,796.18,C,C1,Research,7 years,OWN,175000.0,Source Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=22413062,,credit_card,Credit card refinancing,303xx,GA,5.12,0.0,Apr-93,2.0,,,7.0,0.0,26809,41.0,29.0,w,27256.91,27256.91,13535.06,13535.06,7743.09,5791.97,0.0,0.0,0.0,Jan-16,796.18,Jan-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,442155.0,,,,,,,,,,,,101800.0,,,
171113,3162001,3874595,28000,28000,28000.0, 36 months,11.14,918.55,B,B2,ATK,8 years,MORTGAGE,92000.0,Verified,Jan-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3162001,  Borrower added on 01/16/13 > I am looking for some financing to consolidate my credit card and help my journey in getting out of debt.<br>,debt_consolidation,Debt Consolidation,844xx,UT,29.06,0.0,Sep-94,2.0,,,12.0,0.0,48380,85.5,36.0,f,0.0,0.0,32962.91576,32962.92,28000.0,4962.92,0.0,0.0,0.0,Aug-15,5406.81,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,291006.0,,,,,,,,,,,,56600.0,,,
357300,20149399,22412022,2000,2000,2000.0, 36 months,10.15,64.68,B,B2,Accounts Payable Coordinator,2 years,RENT,55000.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20149399,,credit_card,Credit card refinancing,104xx,NY,11.88,1.0,Feb-89,0.0,21.0,,18.0,0.0,2674,10.5,26.0,f,1075.57,1075.57,1164.24,1164.24,924.43,239.81,0.0,0.0,0.0,Jan-16,64.68,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,11937.0,,,,,,,,,,,,25400.0,,,
151122,4175265,5317481,4000,4000,4000.0, 36 months,15.31,139.27,C,C2,RevSpring,6 years,MORTGAGE,40000.0,Not Verified,Apr-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4175265,,debt_consolidation,Consolidate,894xx,NV,13.8,0.0,Jul-05,0.0,,,9.0,0.0,2228,50.6,11.0,f,0.0,0.0,4672.858631,4672.86,4000.0,672.86,0.0,0.0,0.0,Aug-14,2584.41,,May-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,120613.0,,,,,,,,,,,,4400.0,,,
260689,34151859,36815125,3600,3600,3600.0, 36 months,9.49,115.31,B,B2,Senior Vice President,4 years,MORTGAGE,145000.0,Verified,Nov-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34151859,,medical,Medical expenses,201xx,VA,26.82,0.0,Aug-91,1.0,,,18.0,0.0,41946,66.5,45.0,w,2319.72,2319.72,1612.44,1612.44,1280.28,332.16,0.0,0.0,0.0,Jan-16,115.31,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,699932.0,,,,,,,,,,,,63100.0,,,
129875,5619880,7002283,9000,9000,9000.0, 36 months,6.62,276.34,A,A2,,,MORTGAGE,61000.0,Verified,Jun-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5619880,,credit_card,Credit card refinancing,305xx,GA,15.78,0.0,Oct-80,1.0,56.0,,8.0,0.0,9007,33.9,38.0,f,1361.46,1361.46,8563.42,8563.42,7638.54,924.88,0.0,0.0,0.0,Jan-16,276.34,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,134223.0,,,,,,,,,,,,26604.0,,,
320059,24616870,27049563,2500,2500,2500.0, 36 months,7.69,77.99,A,A4,millwright,10+ years,RENT,40000.0,Not Verified,Aug-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24616870,,debt_consolidation,Debt consolidation,530xx,WI,17.4,0.0,Dec-02,1.0,,,7.0,0.0,1206,21.9,15.0,w,0.0,0.0,2626.7,2626.7,2500.0,126.7,0.0,0.0,0.0,May-15,2.78,,May-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,17286.0,,,,,,,,,,,,5500.0,,,
343729,21191676,23494473,6000,6000,6000.0, 36 months,13.35,203.18,C,C2,Teacher,6 years,RENT,54000.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=21191676,,debt_consolidation,Debt consolidation,498xx,MI,13.09,2.0,Jul-84,1.0,12.0,,7.0,0.0,387,96.7,20.0,f,3297.67,3297.67,3657.24,3657.24,2702.33,954.91,0.0,0.0,0.0,Jan-16,203.18,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,174696.0,,,,,,,,,,,,400.0,,,
