Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
61612,8985093,10767213,6000,6000,6000.0, 36 months,13.67,204.11,B,B5,Engineer Technician,2 years,MORTGAGE,45000.0,Not Verified,Nov-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8985093,  Borrower added on 11/14/13 > Credit card debt has been building and now I would like to consolidate while refinancing all credit card debt and pay one monthly affordable payment.<br>,credit_card,Credit card payoff,432xx,OH,27.41,0.0,Oct-94,2.0,,,14.0,0.0,5391,51.8,21.0,f,0.0,0.0,3054.49,3054.49,1735.03,714.08,0.0,605.38,108.9684,Nov-14,204.11,,Apr-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,143878.0,,,,,,,,,,,,10400.0,,,
127186,5777179,7209366,12800,12800,12800.0, 36 months,13.11,431.97,B,B4,Thompson Coburn LLP,10+ years,RENT,78000.0,Not Verified,Jun-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5777179,,debt_consolidation,Debt Consolidation,605xx,IL,17.15,0.0,Jul-94,0.0,,103.0,17.0,1.0,25981,51.7,18.0,w,2090.46,2090.46,13391.07,13391.07,10709.54,2681.53,0.0,0.0,0.0,Jan-16,431.97,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,34775.0,,,,,,,,,,,,50300.0,,,
397146,15451225,17523549,15000,15000,15000.0, 60 months,19.47,393.0,D,D5,Travel Manager,8 years,RENT,75000.0,Source Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15451225,,debt_consolidation,Debt consolidation,347xx,FL,21.12,0.0,Oct-00,0.0,,,14.0,0.0,24587,91.1,18.0,w,11498.08,11498.08,7860.0,7860.0,3501.92,4358.08,0.0,0.0,0.0,Jan-16,393.0,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,54709.0,,,,,,,,,,,,27000.0,,,
404813,13958245,16010583,14000,14000,14000.0, 60 months,16.59,344.86,D,D1,civil service,9 years,MORTGAGE,78000.0,Source Verified,Apr-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13958245,,credit_card,Credit card refinancing,324xx,FL,11.74,0.0,May-90,1.0,78.0,,16.0,0.0,15909,32.3,20.0,w,10342.23,10342.23,7242.06,7242.06,3657.77,3584.29,0.0,0.0,0.0,Jan-16,344.86,Feb-16,Jan-16,0.0,78.0,1,INDIVIDUAL,,,,0.0,0.0,131137.0,,,,,,,,,,,,49200.0,,,
232999,37620255,40382983,20000,20000,20000.0, 36 months,12.99,673.79,C,C2,Service Director,4 years,MORTGAGE,50000.0,Source Verified,Dec-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37620255,,debt_consolidation,Debt consolidation,850xx,AZ,11.93,0.0,Oct-00,0.0,,,9.0,0.0,9671,37.9,25.0,f,13653.37,13653.37,8730.4,8730.4,6346.63,2383.77,0.0,0.0,0.0,Jan-16,673.79,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,176.0,13970.0,,,,,,,,,,,,25500.0,,,
388916,16541707,18634212,32500,32500,32500.0, 60 months,24.99,953.73,F,F4,Professor,10+ years,MORTGAGE,96000.0,Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16541707,,debt_consolidation,Debt consolidation,730xx,OK,23.41,0.0,Jun-01,0.0,,,14.0,0.0,27078,92.7,32.0,w,25716.08,25716.08,19074.6,19074.6,6783.92,12290.68,0.0,0.0,0.0,Jan-16,953.73,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,60229.0,,,,,,,,,,,,29200.0,,,
440402,11956331,13948483,6450,6450,6425.0, 36 months,12.99,217.3,B,B5,machinist,7 years,RENT,39000.0,Not Verified,Feb-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11956331,  Borrower added on 02/19/14 > I have several credit cards and I am having a hard getting them all paid on time so I am wanting this loan to get everything down to one payment.<br>,credit_card,Credit card refinancing,670xx,KS,22.43,1.0,Feb-06,1.0,16.0,,7.0,0.0,5100,78.5,17.0,f,2808.65,2797.76,4780.6,4762.07,3641.35,1139.25,0.0,0.0,0.0,Dec-15,217.3,Feb-16,Jan-16,0.0,16.0,1,INDIVIDUAL,,,,0.0,85.0,13889.0,,,,,,,,,,,,6500.0,,,
20895,652585,834600,10000,10000,9975.0, 36 months,10.37,324.42,B,B3,Talent Partner,10+ years,RENT,30000.0,Verified,Jan-11,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=652585,"  Borrower added on 01/15/11 > Hello investors!!! Happy New Year to you all! As a New Year's resolution, consolidating all of my debt was at the top of my list and I'm  glad I'm off to a pretty good start. As a new mother, frugality and making life as simplistic as possible is key. With the monies you all have/will invest(ed) into my loan will make this possible since I will be making only 1 loan payment per month as opposed to several payments per month to various creditors with conisderably higher interest rates. I want to thank all of you for your investments in advance, no matter how large or small, every dollar is much appreciated! Continued success and blessings to you all in 2011 and in all of your future endeavors!<br/>",debt_consolidation,Eye On the Prize,900xx,CA,20.88,0.0,Dec-97,0.0,78.0,,12.0,0.0,6464,74.3,17.0,f,0.0,0.0,5724.3,5710.0,4334.61,1175.96,16.2070008,197.52,2.47,Jul-12,324.42,,Nov-12,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
293922,29063873,31597050,5000,5000,5000.0, 36 months,16.99,178.24,D,D3,Adninistrative Assistsnt,10+ years,RENT,55000.0,Verified,Oct-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=29063873,,debt_consolidation,Debt consolidation,112xx,NY,3.91,0.0,May-92,0.0,,43.0,5.0,2.0,4742,73.0,9.0,f,3218.31,3218.31,2668.88,2668.88,1781.69,887.19,0.0,0.0,0.0,Jan-16,178.24,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,4742.0,,,,,,,,,,,,6500.0,,,
421910,12968823,15001000,27000,27000,27000.0, 60 months,12.49,607.31,B,B4,Sr HRIS Analyst,2 years,MORTGAGE,102801.0,Source Verified,Mar-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12968823,,debt_consolidation,Debt consolidation,021xx,MA,15.65,0.0,May-03,0.0,66.0,,8.0,0.0,0,0.0,31.0,f,0.0,0.0,30298.77,30298.77,27000.0,3298.77,0.0,0.0,0.0,Mar-15,23618.36,,Aug-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,301442.0,,,,,,,,,,,,12900.0,,,
183336,2174916,2547788,14400,14400,14400.0, 36 months,10.16,465.73,B,B1,union pacific railroad,10+ years,MORTGAGE,110000.0,Verified,Nov-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2174916,,credit_card,Credit card refinancing,770xx,TX,10.32,0.0,Nov-76,1.0,41.0,,12.0,0.0,23407,30.0,32.0,f,0.0,0.0,14640.94,14640.94,14400.0,240.94,0.0,0.0,0.0,Jan-13,14175.24,,Feb-13,0.0,41.0,1,INDIVIDUAL,,,,0.0,0.0,175460.0,,,,,,,,,,,,77900.0,,,
206382,1436540,1688110,4800,4800,4800.0, 36 months,11.14,157.47,B,B2,Essex Realty Group,3 years,RENT,50000.0,Source Verified,Aug-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1436540,"  Borrower added on 07/20/12 > I am consolidating $2,453 of credit card debt and purchasing an engagement ring! By reducing my higher interest credit card debt I will only be taking on $42 a month of additional debt, which I am able to comfortably repay.<br><br> ",debt_consolidation,Great Credit & Job: Debt Consolidation ,606xx,IL,14.21,1.0,Apr-01,0.0,18.0,,5.0,0.0,1697,6.3,10.0,f,0.0,0.0,5604.970269,5604.97,4800.0,804.97,0.0,0.0,0.0,Nov-14,1511.29,,Nov-14,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
124049,5762069,7193912,12000,12000,12000.0, 36 months,7.62,373.94,A,A3,Waters Technologies Corporation,3 years,MORTGAGE,61000.0,Verified,Jul-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5762069,,debt_consolidation,Repayment,346xx,FL,6.16,0.0,Nov-98,0.0,46.0,,6.0,0.0,11483,80.9,13.0,f,2198.95,2198.95,11212.67,11212.67,9801.05,1411.62,0.0,0.0,0.0,Jan-16,373.94,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,262750.0,,,,,,,,,,,,14200.0,,,
371277,18835681,21008230,12000,12000,12000.0, 36 months,10.99,392.81,B,B3,System Administrator,2 years,RENT,95000.0,Not Verified,Jun-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18835681,,debt_consolidation,Debt consolidation,111xx,NY,12.9,0.0,Oct-08,0.0,,,6.0,0.0,3255,40.7,9.0,f,0.0,0.0,12971.63,12971.63,12000.0,971.63,0.0,0.0,0.0,Jul-15,3115.17,,Jul-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,16784.0,,,,,,,,,,,,8000.0,,,
30763,504506,649644,11500,11500,11475.0, 36 months,15.7,402.63,D,D4,American Automobile Association,10+ years,MORTGAGE,39672.0,Not Verified,Apr-10,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=504506,"  Borrower added on 04/14/10 > Dependable 30 something with solid full time job in Publishing (10+ years) & own a four bedroom home in Central Florida.  I have good credit, make my payments & am very responsible.  I have no children.<br/><br/>I make 3306 monthly & plan to use this loan to pay off my credit card bills & consolidate into one payment I can afford & budget with.  You can count on it being on time each month & paid off in three years!<br/>",debt_consolidation,Credit Card Payoff,327xx,FL,22.57,0.0,Feb-97,3.0,71.0,,14.0,0.0,24998,58.4,31.0,f,0.0,0.0,14603.52,14571.81,11500.0,3103.52,0.0,0.0,0.0,Sep-13,114.64,,Sep-13,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
193551,1583274,1852412,6000,6000,6000.0, 36 months,12.12,199.63,B,B3,"DRILLERS SERVICE, INC",6 years,MORTGAGE,37500.0,Not Verified,Oct-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1583274,  Borrower added on 10/03/12 > DEBT CONSOLIDATION OF CREDIT CARDS THAT WERE USED FOR A SURGERY FOR MY WIFE. THINGS OUR INSURANCE DID NOT COVER. THANKS!!<br>,debt_consolidation,Debt consolidation,286xx,NC,10.69,0.0,Dec-93,0.0,,,5.0,0.0,5862,75.2,11.0,f,0.0,0.0,7190.500003,7190.5,6000.0,1190.5,0.0,0.0,0.0,Oct-15,199.64,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,11127.0,,,,,,,,,,,,7800.0,,,
57800,8969618,10761451,4000,4000,4000.0, 36 months,21.0,150.71,E,E1,Nurse,10+ years,MORTGAGE,165000.0,Source Verified,Nov-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8969618,,medical,"pay off medical bills, lower interest",308xx,GA,21.56,2.0,Feb-89,2.0,20.0,,9.0,0.0,116099,86.3,27.0,f,1495.89,1495.89,3767.54,3767.54,2504.11,1263.43,0.0,0.0,0.0,Dec-15,150.71,Jan-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,345047.0,,,,,,,,,,,,135200.0,,,
229382,1093589,1331127,20000,20000,19975.0, 60 months,12.69,451.9,B,B5,Santa Clara County,10+ years,RENT,63996.0,Verified,Jan-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1093589,,debt_consolidation,help I needed,945xx,CA,16.37,0.0,May-01,1.0,,,9.0,0.0,21318,56.7,22.0,f,0.0,0.0,26469.65118,26436.6,20000.0,6469.65,0.0,0.0,0.0,Aug-15,7524.1,,Sep-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
